"REF_DATE","GEO","DGUID","Type of currency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-05-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9066","","","","4"
"2023-05-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9049","","","","4"
"2023-05-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9068","","","","4"
"2023-05-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9048","","","","4"
"2023-05-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9055","","","","4"
"2023-05-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9035","","","","4"
"2023-05-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9007","","","","4"
"2023-05-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9029","","","","4"
"2023-05-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8966","","","","4"
"2023-05-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8965","","","","4"
"2023-05-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8932","","","","4"
"2023-05-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8990","","","","4"
"2023-05-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8937","","","","4"
"2023-05-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8892","","","","4"
"2023-05-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8871","","","","4"
"2023-05-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8879","","","","4"
"2023-05-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-05-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8889","","","","4"
"2023-05-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8865","","","","4"
"2023-05-31","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8814","","","","4"
"2023-06-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8843","","","","4"
"2023-06-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8888","","","","4"
"2023-06-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8888","","","","4"
"2023-06-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8943","","","","4"
"2023-06-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8921","","","","4"
"2023-06-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8961","","","","4"
"2023-06-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8991","","","","4"
"2023-06-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9024","","","","4"
"2023-06-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9021","","","","4"
"2023-06-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9059","","","","4"
"2023-06-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9090","","","","4"
"2023-06-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9068","","","","4"
"2023-06-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9042","","","","4"
"2023-06-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8970","","","","4"
"2023-06-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8937","","","","4"
"2023-06-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8896","","","","4"
"2023-06-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8816","","","","4"
"2023-06-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-06-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8783","","","","4"
"2023-06-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8814","","","","4"
"2023-06-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8766","","","","4"
"2023-06-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8777","","","","4"
"2023-06-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8814","","","","4"
"2023-07-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8851","","","","4"
"2023-07-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8846","","","","4"
"2023-07-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8845","","","","4"
"2023-07-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8876","","","","4"
"2023-07-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-10","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8849","","","","4"
"2023-07-11","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8838","","","","4"
"2023-07-12","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8937","","","","4"
"2023-07-13","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9031","","","","4"
"2023-07-14","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.9029","","","","4"
"2023-07-15","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
